,max (document wise),mean (document wise),min (document wise)
w6606_4261-a,0.0006896552,0.0006896552,0.0006896552
w6606_8388-a,0.0006896552,0.0006896552,0.0006896552
w6606_17162-a,0.0006896552,0.0006896552,0.0006896552
w6606_31606-a,0.0006896552,0.0006896552,0.0006896552
w38154_9492-n,0.0013793104,0.0013793104,0.0013793104
w367_77-n,0.0006896552,0.0006896552,0.0006896552
w4187_845-a,0.0006896552,0.0006896552,0.0006896552
w19061_4317-a,0.0006896552,0.0006896552,0.0006896552
w57170_15196-n,0.0020689655,0.0020689655,0.0020689655
w14542_3163-a,0.0006896552,0.0006896552,0.0006896552
w14542_6253-a,0.0006896552,0.0006896552,0.0006896552
w14542_20340-a,0.0006896552,0.0006896552,0.0006896552
w12603_2692-a,0.0006896552,0.0006896552,0.0006896552
w23634_5458-a,0.0006896552,0.0006896552,0.0006896552
w33967_8328-a,0.0006896552,0.0006896552,0.0006896552
w38102_9476-a,0.0006896552,0.0006896552,0.0006896552
w685_137-v,0.0013793104,0.0013793104,0.0013793104
w685_1364-v,0.0013793104,0.0013793104,0.0013793104
w685_7930-v,0.0013793104,0.0013793104,0.0013793104
w685_11902-v,0.0013793104,0.0013793104,0.0013793104
w685_15299-v,0.0013793104,0.0013793104,0.0013793104
w685_15700-v,0.0013793104,0.0013793104,0.0013793104
w11540_2421-v,0.0006896552,0.0006896552,0.0006896552
w11540_5404-v,0.0006896552,0.0006896552,0.0006896552
w11540_7794-v,0.0006896552,0.0006896552,0.0006896552
w11540_7850-v,0.0006896552,0.0006896552,0.0006896552
w11540_10314-v,0.0006896552,0.0006896552,0.0006896552
w11540_15180-v,0.0006896552,0.0006896552,0.0006896552
w11540_33194-v,0.0006896552,0.0006896552,0.0006896552
w11720_2469-a,0.0006896552,0.0006896552,0.0006896552
w11720_9112-a,0.0006896552,0.0006896552,0.0006896552
w11720_10994-a,0.0006896552,0.0006896552,0.0006896552
w11720_19785-a,0.0006896552,0.0006896552,0.0006896552
w11720_34338-a,0.0006896552,0.0006896552,0.0006896552
w22042_5070-a,0.0006896552,0.0006896552,0.0006896552
w4643_940-a,0.0008818342,0.0007857447,0.0006896552
w26694_6278-n,0.0006896552,0.0006896552,0.0006896552
w26694_15637-n,0.0006896552,0.0006896552,0.0006896552
w3916_337-v,0.0006896552,0.0006896552,0.0006896552
w3916_3846-v,0.0006896552,0.0006896552,0.0006896552
